date,lat,lon,cnt
2015-05-23 23:30:00,43.6667,-79.4167,20
2015-05-23 23:30:00,52.2,0.116667,12
2015-05-23 23:30:00,51.5,-0.116667,101
2015-05-23 23:30:00,0,0,32
2015-05-23 23:30:00,-37.8167,144.967,22
2015-05-23 23:30:00,52.2,-2.83333,4
2015-05-23 23:30:00,-33.8833,151.217,65
2015-05-23 23:30:00,47.8,13.0333,4
2015-05-23 23:30:00,48.2,16.3667,73
2015-05-23 23:30:00,39.7392,-104.985,10
2015-05-23 23:30:00,38.8951,-77.0364,105
2015-05-23 23:30:00,27.8333,-81.717,64
2015-05-23 23:30:00,14.5548,121.019,8
2015-05-23 23:30:00,40.5773,-77.264,20
2015-05-23 23:30:00,41.5004,-75.1249,4
2015-05-23 23:30:00,39.9523,-75.1638,9
2015-05-23 23:30:00,42.0046,-93.214,22
2015-05-23 23:30:00,38.4623,-92.302,45
2015-05-23 23:30:00,33.7712,-111.388,35
2015-05-23 23:30:00,43.3504,-84.5603,26
2015-05-23 23:30:00,14.5833,121,16
2015-05-23 23:30:00,42.3584,-71.0598,12
2015-05-23 23:30:00,37.768,-78.2057,7
2015-05-23 23:30:00,14.6042,120.982,18
2015-05-23 23:30:00,-0.420132,36.9476,3
2015-05-23 23:30:00,54.5,-6.5,15
2015-05-23 23:30:00,52.9667,-1.16667,5
2015-05-23 23:30:00,52.8333,-2,18
2015-05-23 23:30:00,9.08333,7.53333,37
2015-05-23 23:30:00,40.4,-3.68333,28
2015-05-23 23:30:00,10.1806,-68.0039,3
2015-05-23 23:30:00,41.3833,2.18333,14
2015-05-23 23:30:00,55.7522,37.6156,14
2015-05-23 23:30:00,47.5002,-111.301,4
2015-05-23 23:30:00,46.9048,-110.326,33
2015-05-23 23:30:00,0.665673,37.8897,6
2015-05-23 23:15:00,50.0833,14.4667,6
2015-05-23 23:15:00,12.0622,0.357778,22
2015-05-23 23:15:00,12.65,-8,14
2015-05-23 23:15:00,12.3703,-1.52472,82
2015-05-23 23:15:00,-3.9991,30.0321,4
2015-05-23 23:15:00,15.5943,0.9015,5
2015-05-23 23:15:00,49.6833,5.81667,7
2015-05-23 23:15:00,33.59,-7.61,29
2015-05-23 23:15:00,35.7806,-5.81365,3
2015-05-23 23:15:00,34.6805,-1.90764,3
2015-05-23 23:15:00,40.3167,9.35,4
2015-05-23 23:15:00,43,13,3
2015-05-23 23:15:00,37.9833,23.7333,8
2015-05-23 23:15:00,45.15,10.8,8
2015-05-23 23:15:00,38.1167,13.3667,12
2015-05-23 23:15:00,46.5,11.3333,7
2015-05-23 23:15:00,39.2167,9.11667,4
2015-05-23 23:15:00,50,14.5,4
2015-05-23 23:15:00,55.6667,12.5833,13
2015-05-23 23:15:00,47.3126,3.26781,3
2015-05-23 23:15:00,16.4871,41.9457,4
2015-05-23 23:15:00,33.8935,-5.54727,3
2015-05-23 23:15:00,38.2547,140.885,3
2015-05-23 23:15:00,45.8,16,3
2015-05-23 23:15:00,30.6667,104.067,29
2015-05-23 23:15:00,34.261,-6.5802,11
2015-05-23 23:15:00,30.4207,-9.59316,9
2015-05-23 23:15:00,32,-9.26,3
2015-05-23 23:15:00,33.2549,-8.50602,4
2015-05-23 23:15:00,29.5628,106.553,7
2015-05-23 23:15:00,24.4533,118.389,3
2015-05-23 23:15:00,32.0617,118.778,14
2015-05-23 23:15:00,43.8508,126.56,10
2015-05-23 23:15:00,39.9809,-75.153,3
2015-05-23 23:15:00,35.1221,105.48,57
2015-05-23 23:15:00,48,128,13
2015-05-23 23:15:00,30.7951,106.085,6
2015-05-23 23:15:00,31.7867,121.141,23
2015-05-23 23:15:00,22.2667,113.363,10
2015-05-23 23:15:00,40.65,14.6167,10
2015-05-23 23:15:00,22.1061,111.634,3
2015-05-23 23:15:00,29.9774,105.483,3
2015-05-23 23:15:00,30.7714,111.321,52
2015-05-23 23:15:00,31.8639,117.281,3
2015-05-23 23:15:00,24,119,4
2015-05-23 23:15:00,39.9792,116.299,10
2015-05-23 23:15:00,31.3114,120.618,3
2015-05-23 23:15:00,17.9667,102.6,3
2015-05-23 23:15:00,30.2553,120.169,9
2015-05-23 23:15:00,34.6836,112.454,3
2015-05-23 23:15:00,36,109,4
2015-05-23 23:15:00,34.3456,108.715,6
2015-05-23 23:15:00,43.88,125.323,8
2015-05-23 23:15:00,53.7079,16.6994,3
2015-05-23 23:15:00,30.5833,114.267,64
2015-05-23 23:15:00,38,102,9
2015-05-23 23:15:00,29.005,92.005,5
2015-05-23 23:15:00,26.8658,107.866,5
2015-05-23 23:15:00,26.545,117.843,4
2015-05-23 23:15:00,23.2656,116.054,21
2015-05-23 23:15:00,22.7,101.4,11
2015-05-23 23:15:00,21.7686,111.37,13
2015-05-23 23:15:00,36.3667,126.55,9
2015-05-23 23:15:00,26.9512,116.692,3
2015-05-23 23:15:00,22.2,111.117,3
2015-05-23 23:15:00,40.45,-3.7,6
2015-05-23 23:15:00,43.3333,-4,4
2015-05-23 23:15:00,28,-15.5,11
2015-05-23 23:15:00,32.5333,-117.017,7
2015-05-23 23:15:00,37.2714,-6.94946,6
2015-05-23 23:15:00,-25.9333,-55.7833,3
2015-05-23 23:15:00,-34.5608,-58.46,7
2015-05-23 23:15:00,-33.1477,-68.479,3
2015-05-23 23:15:00,-22.9,-43.2333,10
2015-05-23 23:15:00,-27.4806,-58.8341,4
2015-05-23 23:15:00,-34.5243,-58.483,3
2015-05-23 23:15:00,28.0312,-15.6655,5
2015-05-23 23:15:00,40.5,16.5,24
2015-05-23 23:15:00,40,9,10
2015-05-23 23:15:00,40.5589,8.31806,3
2015-05-23 23:15:00,42.3584,-71.0598,12
2015-05-23 23:15:00,-48,-74,3
2015-05-23 23:15:00,53.622,77.5991,6
2015-05-23 23:15:00,55.3333,3,4
2015-05-23 23:15:00,47.1167,15.5667,3
2015-05-23 23:15:00,55.1544,61.4297,11
2015-05-23 23:15:00,53.9,27.5667,3
2015-05-23 23:15:00,43.25,76.95,3
2015-05-23 23:15:00,50.1806,48.6973,6
2015-05-23 23:15:00,47.25,15.1667,11
2015-05-23 23:15:00,48.5,38.5,12
2015-05-23 23:15:00,51.1811,71.4278,3
2015-05-23 23:15:00,42.9,71.3667,9
2015-05-23 23:15:00,50.8333,4.33333,16
2015-05-23 23:15:00,59.4339,24.7281,3
2015-05-23 23:15:00,53.55,10,12
2015-05-23 23:15:00,53.3833,11.5833,5
2015-05-23 23:15:00,46.1952,9.02283,3
2015-05-23 23:15:00,49.0047,8.38583,4
2015-05-23 23:15:00,36.8474,-2.94684,6
2015-05-23 23:15:00,36.7641,-2.61514,5
2015-05-23 23:15:00,20.6667,-103.333,3
2015-05-23 23:15:00,33.7667,114.6,3
2015-05-23 23:15:00,39.364,-9.31541,6
2015-05-23 23:15:00,41.1167,1.25,3
2015-05-23 23:15:00,-33.0189,-69.1172,9
2015-05-23 23:15:00,-26.0772,-65.4749,7
2015-05-23 23:15:00,-34.5875,-58.6725,7
2015-05-23 23:15:00,4.6,-74.4,8
2015-05-23 23:15:00,-33.45,-70.6667,14
2015-05-23 23:15:00,-16.9978,-72.1031,4
2015-05-23 23:15:00,-17,-64,3
2015-05-23 23:15:00,2.51563,-76.8275,5
2015-05-23 23:15:00,37.6,-4.5,34
2015-05-23 23:15:00,25.2501,55.303,3
2015-05-23 23:15:00,25.3573,55.4033,6
2015-05-23 23:15:00,38.801,-9.37826,3
2015-05-23 23:15:00,-8.05,-34.9,3
2015-05-23 23:15:00,46.1956,6.14811,31
2015-05-23 23:15:00,-5.41,-47.7064,3
2015-05-23 23:15:00,31.2565,32.2841,6
2015-05-23 23:15:00,31.4167,34.3333,24
2015-05-23 23:15:00,35.5148,35.7768,3
2015-05-23 23:15:00,35.9306,36.6339,20
2015-05-23 23:15:00,30.4658,30.9316,3
2015-05-23 23:15:00,30.0557,31.2406,3
2015-05-23 23:15:00,6.29139,-75.5361,4
2015-05-23 23:15:00,-1.6,-46.2167,9
2015-05-23 23:15:00,-8.79194,-49.4306,3
2015-05-23 23:15:00,37.5453,-7.64757,3
2015-05-23 23:15:00,38.5,-28,18
2015-05-23 23:15:00,-3.2,-45.45,3
2015-05-23 23:15:00,-7.12278,-48.5711,3
2015-05-23 23:15:00,-6.58972,-48.4739,7
2015-05-23 23:15:00,-9.3,14.9167,5
2015-05-23 23:15:00,39.1433,-8.68717,4
2015-05-23 23:15:00,30.0086,31.2122,11
2015-05-23 23:15:00,48.7186,4.66847,6
2015-05-23 23:15:00,22.2333,31.5667,3
2015-05-23 23:15:00,-6.9932,110.42,10
2015-05-23 23:15:00,24.4118,54.4657,6
2015-05-23 23:15:00,36.47,2.8277,3
2015-05-23 23:15:00,45.945,13.5978,11
2015-05-23 23:15:00,46.5472,15.5956,3
2015-05-23 23:15:00,10.5833,79.65,3
2015-05-23 23:15:00,-3.8932,119.827,4
2015-05-23 23:15:00,-6.7063,108.557,3
2015-05-23 23:15:00,24.4219,54.4551,5
2015-05-23 23:15:00,30.0433,31.2326,3
2015-05-23 23:15:00,12.9667,44.2167,3
2015-05-23 23:15:00,36.2251,37.3266,6
2015-05-23 23:15:00,15.461,45.3253,3
2015-05-23 23:15:00,35.9378,36.6298,8
2015-05-23 23:15:00,30.0642,31.2201,7
2015-05-23 23:15:00,25.2867,51.5333,5
2015-05-23 23:15:00,37.7742,29.0875,6
2015-05-23 23:15:00,38.1712,38.3522,12
2015-05-23 23:15:00,40.0064,36.4106,8
2015-05-23 23:15:00,40.1606,28.1848,8
2015-05-23 23:15:00,36.9081,30.6956,4
2015-05-23 23:15:00,37.8714,32.4846,5
2015-05-23 23:15:00,37.9158,40.2189,5
2015-05-23 23:15:00,38.8833,27.7,3
2015-05-23 23:15:00,43.85,18.3833,5
2015-05-23 23:15:00,44.8431,20.4011,8
2015-05-23 23:15:00,44.6539,20.2,4
2015-05-23 23:15:00,45,20,9
2015-05-23 23:15:00,36.2342,36.3225,3
2015-05-23 23:15:00,39.9537,34.0259,8
2015-05-23 23:15:00,21.4667,-71.1333,3
2015-05-23 23:15:00,37.4564,118.486,14
2015-05-23 23:15:00,32.9793,118.852,5
2015-05-23 23:15:00,34.4127,108.58,4
2015-05-23 23:15:00,24.4798,118.082,3
2015-05-23 23:15:00,41.2867,36.33,11
2015-05-23 23:15:00,39,35,4
2015-05-23 23:15:00,39.9086,41.2769,3
2015-05-23 23:15:00,40.1456,26.4064,3
2015-05-23 23:15:00,38.4104,27.142,15
2015-05-23 23:15:00,40.1917,29.0611,5
2015-05-23 23:15:00,44.8708,20.6403,4
2015-05-23 23:15:00,40.2079,26.5492,3
2015-05-23 23:15:00,41.6757,26.5587,7
2015-05-23 23:15:00,42.1929,125.234,6
2015-05-23 23:15:00,36.3833,140.533,3
2015-05-23 23:15:00,12.9365,101.523,4
2015-05-23 23:15:00,41.1172,20.8019,5
2015-05-23 23:15:00,69.45,17.3,5
2015-05-23 23:15:00,-25.4167,-49.25,5
2015-05-23 23:15:00,-5.23333,-40.1833,6
2015-05-23 23:15:00,-6.765,-70.9364,8
2015-05-23 23:15:00,-27.1,-52.6,3
2015-05-23 23:15:00,-23.7667,-54.1,9
2015-05-23 23:15:00,-15.7833,-47.9167,11
2015-05-23 23:15:00,43.3667,21.9667,5
2015-05-23 23:15:00,47.7333,22.7167,4
2015-05-23 23:15:00,43.6167,20.9,3
2015-05-23 23:15:00,44.3842,20.035,3
2015-05-23 23:15:00,59.85,17.6333,6
2015-05-23 23:15:00,41.1414,24.8836,18
2015-05-23 23:15:00,37.8167,23.7833,5
2015-05-23 23:15:00,34.9835,-81.1831,9
2015-05-23 23:15:00,36.3729,-94.2088,3
2015-05-23 23:15:00,17.3753,78.4744,12
2015-05-23 23:15:00,18,79.5,14
2015-05-23 23:15:00,11,78,7
2015-05-23 23:15:00,43.1848,-2.4738,4
2015-05-23 23:15:00,37.1784,-3.5992,7
2015-05-23 23:15:00,38.265,-0.706103,3
2015-05-23 23:15:00,52.25,21,7
2015-05-23 23:15:00,32.7766,-79.9309,5
2015-05-23 23:15:00,48.15,11.5833,16
2015-05-23 23:15:00,-3.3529,29.3704,6
2015-05-23 23:15:00,-3.37611,29.36,17
2015-05-23 23:15:00,-33.8652,151.201,3
2015-05-23 23:15:00,45.8833,-64.35,7
2015-05-23 23:15:00,43.4667,-80.5333,4
2015-05-23 23:15:00,-31.95,115.867,3
2015-05-23 23:15:00,41.6005,-93.6091,6
2015-05-23 23:15:00,55.7522,37.6156,56
2015-05-23 23:15:00,40.564,-74.116,5
2015-05-23 23:15:00,31.2302,-89.4551,5
2015-05-23 23:15:00,-31.4,-64.1833,9
2015-05-23 23:15:00,28.4667,77.0333,6
2015-05-23 23:15:00,28.6,77.2,7
